id;nom;consulats;inscrits_2014;nombre_conseillers;nombre_délégués
0;Canada — 1re circonscription;Vancouver/Calgary;6 969;3;0
1;Canada — 2e circonscription;Toronto;10 553;4;0
2;Canada — 3e circonscription;Québec;10 261;4;0
3;Canada — 4e circonscription;Montréal/Moncton/Halifax;55 512;7;4
4;États-Unis d'Amérique — 1re circonscription;Atlanta;6 424;3;0
5;États-Unis d'Amérique — 2e circonscription;Boston;7 529;3;0
6;États-Unis d'Amérique — 3e circonscription;Houston/La Nouvelle-Orléans;9 868;4;0
7;États-Unis d'Amérique — 4e circonscription;Chicago;10 449;4;0
8;États-Unis d'Amérique — 5e circonscription;Miami;11 598;4;0
9;États-Unis d'Amérique — 6e circonscription;Washington;13 686;4;0
10;États-Unis d'Amérique — 7e circonscription;Los Angeles;18 357;5;0
11;États-Unis d'Amérique — 8e circonscription;San Francisco;19 477;5;0
12;États-Unis d'Amérique — 9e circonscription;New York;32 132;5;2
13;Argentine;Buenos Aires;14 577;4;0
14;Bolivie;La Paz;1 416;1;0
15;Brésil — 1re circonscription;Brasilia/Recife/Paramaribo;3 999;3;0
16;Brésil — 2e circonscription;Rio de Janeiro;7 014;3;0
17;Brésil — 3e circonscription;São Paulo;10 052;4;0
18;Chili;Santiago;10 623;4;0
19;Colombie;Bogotá;5 029;3;0
20;Costa Rica, Honduras, Nicaragua;San José/Tegucigalpa/Managua;3 337;3;0
21;Equateur;Quito;2 318;3;0
22;Guatemala, Salvador;Guatemala/San Salvador;1 506;1;0
23;Haïti;Port-au-Prince;1 654;1;0
24;Mexique;Mexico;17 690;5;0
25;Panamá, Cuba, Jamaïque;Panamá/La Havane/Kingston;2 185;1;0
26;Paraguay;Assomption;1 494;1;0
27;Pérou;Lima;3 699;3;0
28;République dominicaine;Saint-Domingue;3 994;3;0
29;Uruguay;Montevideo;2 869;3;0
30;Venezuela, Sainte-Lucie, Trinité-et-Tobago;Caracas/Castries/Port d'Espagne;6 015;3;0
31;Danemark;Copenhague;5 216;3;0
32;Finlande, Lituanie, Lettonie, Estonie;Helsinki/Vilnius/Riga/Tallinn;3 419;3;0
33;Irlande;Dublin;8 310;4;0
34;Norvège, Islande;Oslo/Reykjavik;5 460;3;0
35;Royaume-Uni — 1re circonscription;Edimbourg/Glasgow;5 532;3;0
36;Royaume-Uni — 2e circonscription;Londres;120 707;9;11
37;Suède;Stockholm;6 785;3;0
38;Belgique;Bruxelles;115 888;9;10
39;Luxembourg;Luxembourg;32 575;5;2
40;Pays-Bas;Amsterdam;23 448;5;1
41;Allemagne — 1re circonscription;Berlin/Hambourg;22 386;5;1
42;Allemagne — 2e circonscription;Francfort/Düsseldorf/Sarrebruck;43 795;6;3
43;Allemagne — 3e circonscription;Munich/Stuttgart;46 057;6;3
44;Autriche, Slovaquie, Slovénie;Vienne/Bratislava/Ljubljana;10 177;4;0
45;Suisse — 1re circonscription;Zurich;28 932;5;1
46;Suisse — 2e circonscription;Genève;134 668;9;12
47;Arménie, Géorgie;Erevan/Tbilissi;867;1;0
