code,id
01-01,1
01-02,2
01-03,3
01-04,4
01-05,5
02-01,6
02-02,7
02-03,8
02-04,9
02-05,10
03-01,11
03-02,12
03-03,13
04-01,14
04-02,15
05-01,16
05-02,17
06-01,18
06-02,19
06-03,20
06-04,21
06-05,22
06-06,23
06-07,24
06-08,25
06-09,26
07-01,27
07-02,28
07-03,29
08-01,30
08-02,31
08-03,32
09-01,33
09-02,34
10-01,35
10-02,36
10-03,37
11-01,38
11-02,39
11-03,40
12-01,41
12-02,42
12-03,43
13-01,44
13-02,45
13-03,46
13-04,47
13-05,48
13-06,49
13-07,50
13-08,51
13-09,52
13-10,53
13-11,54
13-12,55
13-13,56
13-14,57
13-15,58
13-16,59
14-01,60
14-02,61
14-03,62
14-04,63
14-05,64
14-06,65
15-01,66
15-02,67
16-01,68
16-02,69
16-03,70
17-01,71
17-02,72
17-03,73
17-04,74
17-05,75
18-01,76
18-02,77
18-03,78
19-01,79
19-02,80
21-01,81
21-02,82
21-03,83
21-04,84
21-05,85
22-01,86
22-02,87
22-03,88
22-04,89
22-05,90
23-01,91
24-01,92
24-02,93
24-03,94
24-04,95
25-01,96
25-02,97
25-03,98
25-04,99
25-05,100
26-01,101
26-02,102
26-03,103
26-04,104
27-01,105
27-02,106
27-03,107
27-04,108
27-05,109
28-01,110
28-02,111
28-03,112
28-04,113
29-01,114
29-02,115
29-03,116
29-04,117
29-05,118
29-06,119
29-07,120
29-08,121
2A-01,122
2A-02,123
2B-01,124
2B-02,125
30-01,126
30-02,127
30-03,128
30-04,129
30-05,130
30-06,131
31-01,132
31-02,133
31-03,134
31-04,135
31-05,136
31-06,137
31-07,138
31-08,139
31-09,140
31-10,141
32-01,142
32-02,143
33-01,144
33-02,145
33-03,146
33-04,147
33-05,148
33-06,149
33-07,150
33-08,151
33-09,152
33-10,153
33-11,154
33-12,155
34-01,156
34-02,157
34-03,158
34-04,159
34-05,160
34-06,161
34-07,162
34-08,163
34-09,164
35-01,165
35-02,166
35-03,167
35-04,168
35-05,169
35-06,170
35-07,171
35-08,172
36-01,173
36-02,174
37-01,175
37-02,176
37-03,177
37-04,178
37-05,179
38-01,180
38-02,181
38-03,182
38-04,183
38-05,184
38-06,185
38-07,186
38-08,187
38-09,188
38-10,189
39-01,190
39-02,191
39-03,192
40-01,193
40-02,194
40-03,195
41-01,196
41-02,197
41-03,198
42-01,199
42-02,200
42-03,201
42-04,202
42-05,203
42-06,204
43-01,205
43-02,206
44-01,207
44-02,208
44-03,209
44-04,210
44-05,211
44-06,212
44-07,213
44-08,214
44-09,215
44-10,216
45-01,217
45-02,218
45-03,219
45-04,220
45-05,221
45-06,222
46-01,223
46-02,224
47-01,225
47-02,226
47-03,227
48-01,228
49-01,229
49-02,230
49-03,231
49-04,232
49-05,233
49-06,234
49-07,235
50-01,236
50-02,237
50-03,238
50-04,239
51-01,240
51-02,241
51-03,242
51-04,243
51-05,244
52-01,245
52-02,246
53-01,247
53-02,248
53-03,249
54-01,250
54-02,251
54-03,252
54-04,253
54-05,254
54-06,255
55-01,256
55-02,257
56-01,258
56-02,259
56-03,260
56-04,261
56-05,262
56-06,263
57-01,264
57-02,265
57-03,266
57-04,267
57-05,268
57-06,269
57-07,270
57-08,271
57-09,272
58-01,273
58-02,274
59-01,275
59-02,276
59-03,277
59-04,278
59-05,279
59-06,280
59-07,281
59-08,282
59-09,283
59-10,284
59-11,285
59-12,286
59-13,287
59-14,288
59-15,289
59-16,290
59-17,291
59-18,292
59-19,293
59-20,294
59-21,295
60-01,296
60-02,297
60-03,298
60-04,299
60-05,300
60-06,301
60-07,302
61-01,303
61-02,304
61-03,305
62-01,306
62-02,307
62-03,308
62-04,309
62-05,310
62-06,311
62-07,312
62-08,313
62-09,314
62-10,315
62-11,316
62-12,317
63-01,318
63-02,319
63-03,320
63-04,321
63-05,322
64-01,323
64-02,324
64-03,325
64-04,326
64-05,327
64-06,328
65-01,329
65-02,330
66-01,331
66-02,332
66-03,333
66-04,334
67-01,335
67-02,336
67-03,337
67-04,338
67-05,339
