code,id
01D,1
02D,2
03D,3
04D,4
05D,5
06D,6
07D,7
08D,8
09D,9
10D,10
11D,11
12D,12
13D,13
14D,14
15D,15
16D,16
17D,17
18D,18
19D,19
21D,20
22D,21
23D,22
24D,23
25D,24
26D,25
27D,26
28D,27
29D,28
30D,29
31D,30
32D,31
33D,32
34D,33
35D,34
36D,35
37D,36
38D,37
39D,38
40D,39
41D,40
42D,41
43D,42
44D,43
45D,44
46D,45
47D,46
48D,47
49D,48
50D,49
51D,50
52D,51
53D,52
54D,53
55D,54
56D,55
57D,56
58D,57
59D,58
60D,59
61D,60
62D,61
63D,62
64D,63
65D,64
66D,65
67D,66
68D,67
69D,68
70D,69
71D,70
72D,71
73D,72
74D,73
76D,74
77D,75
78D,76
79D,77
80D,78
81D,79
82D,80
83D,81
84D,82
85D,83
86D,84
87D,85
88D,86
89D,87
90D,88
91D,89
92D,90
93D,91
94D,92
95D,93
971D,94
974D,95
69M,96
75C,97
6AE,98
972R,99
973R,100
976D,101
20R,102
,103
2D,104
8D,105
9D,106
1D,107
3D,108
7D,109
4D,110
5D,111
6D,112
