code,id
01,0
02,1
03,2
04,3
05,4
06,5
07,6
08,7
09,8
10,9
11,10
12,11
13,12
14,13
15,14
16,15
17,16
18,17
19,18
21,19
22,20
23,21
24,22
25,23
26,24
27,25
28,26
29,27
2A,28
2B,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
971,96
972,97
973,98
974,99
976,100
